project_id,Consecutivo,unique_id,Semana,Estado,Semanas_Inicio,Ejecutado,Fecha_Inicio,Fecha_Fin
63,19088,104,15,"A Tiempo",9,0.25,2025-03-06,2025-03-19
63,19348,364,15,"Terminada Antes",7,1,2025-02-17,2025-02-18
63,19349,365,15,"Terminada Antes",7,1,2025-02-19,2025-02-19
63,19350,366,15,"Terminada Antes",7,1,2025-02-20,2025-02-21
63,19351,367,15,"Terminada Antes",8,1,2025-02-22,2025-02-22
63,19422,438,15,"A Tiempo",8,0.4,2025-02-26,2025-03-13
63,19424,440,15,"A Tiempo",8,0.37,2025-02-27,2025-03-07
63,19447,463,15,"A Tiempo",10,0.25,2025-03-13,2025-03-28
63,19466,482,15,"A Tiempo",11,0.25,2025-03-20,2025-03-29
63,19469,485,15,"A Tiempo",10,0.25,2025-03-13,2025-03-28
68,10396,12229,1,"En Curso",10,0.55,2026-08-01,2026-09-01
68,14120,12229,2,"En Curso",10,0.7,2026-08-01,2026-09-01
68,15982,12229,3,Terminada,9,1,2026-08-01,2026-09-01
68,17844,12229,4,Terminada,7,1,2026-08-01,2026-09-01
68,19063,11559,5,"En Curso",7,0.093,2026-08-11,2027-03-30
68,19064,11560,5,"En Curso",7,0.572,2026-08-11,2026-09-17
68,19065,11561,5,"En Curso",7,0.369,2026-08-11,2026-10-06
68,19066,11562,5,"En Curso",7,0.369,2026-08-11,2026-10-06
68,19067,11563,5,"En Curso",7,0.093,2026-08-11,2027-03-30
68,20633,11238,6,Terminada,8,1,2026-08-28,2026-09-03
68,20635,11240,6,"En Curso",10,0.2,2026-09-12,2026-09-19
68,20640,11245,6,"En Curso",9,0.5,2026-09-04,2026-09-10
68,21518,12123,6,"En Curso",24,0.25,2026-12-15,2026-12-22
68,22524,11238,7,Terminada,7,1,2026-08-28,2026-09-03
68,22526,11240,7,"En Curso",9,0.7,2026-09-12,2026-09-19
68,22531,11245,7,Terminada,8,1,2026-09-04,2026-09-10
68,23409,12123,7,"En Curso",23,0.35,2026-12-15,2026-12-22
68,24416,11239,8,Terminada,7,1,2026-09-01,2026-09-12
68,24417,11240,8,"En Curso",8,0.9,2026-09-12,2026-09-19
68,24422,11245,8,Terminada,7,1,2026-09-04,2026-09-10
68,24423,11246,8,"En Curso",8,0.5,2026-09-12,2026-09-24
68,24424,11247,8,"En Curso",10,0.5,2026-09-24,2026-10-01
68,24429,11252,8,"En Curso",8,0.01,2026-09-11,2026-09-17
68,24826,11649,8,"En Curso",12,0.85,2026-10-05,2026-10-08
68,24979,11802,8,"En Curso",20,0.15,2026-12-03,2026-12-30
68,25300,12123,8,"En Curso",22,0.8,2026-12-15,2026-12-22
68,25307,12130,8,"En Curso",27,0.1,2027-01-20,2027-03-13
68,25487,12310,8,"En Curso",29,0.5,2027-02-06,2027-02-15
68,25565,12388,8,Terminada,11,1,2026-09-30,2026-10-10
68,25694,12517,8,"En Curso",10,0.35,2026-09-25,2026-09-30
68,26308,11240,9,Terminada,7,1,2026-09-12,2026-09-19
68,26314,11246,9,Terminada,7,1,2026-09-12,2026-09-24
68,26315,11247,9,Terminada,9,1,2026-09-24,2026-10-01
68,26320,11252,9,Terminada,7,1,2026-09-11,2026-09-17
68,26321,11253,9,"En Curso",8,0.01,2026-09-15,2026-09-26
68,26322,11254,9,"En Curso",10,0.01,2026-10-01,2026-10-08
68,26717,11649,9,"En Curso",11,0.85,2026-10-05,2026-10-08
68,26736,11668,9,"En Curso",16,0.01,2026-11-09,2026-11-12
68,26755,11687,9,"En Curso",21,0.01,2026-12-14,2026-12-17
68,26870,11802,9,"En Curso",19,0.15,2026-12-03,2026-12-30
68,26898,11830,9,"En Curso",9,0.01,2026-09-26,2026-09-26
68,27191,12123,9,"En Curso",21,0.9,2026-12-15,2026-12-22
68,27192,12124,9,"En Curso",22,0.01,2026-12-22,2027-01-13
68,27198,12130,9,"En Curso",26,0.1,2027-01-20,2027-03-13
68,27211,12143,9,"En Curso",17,0.01,2026-11-17,2027-01-12
68,27378,12310,9,"En Curso",28,0.5,2027-02-06,2027-02-15
68,27415,12347,9,"En Curso",33,0.01,2027-03-11,2027-04-09
68,27443,12375,9,"En Curso",10,0.01,2026-09-30,2026-11-11
68,27456,12388,9,Terminada,10,1,2026-09-30,2026-10-10
68,27585,12517,9,"En Curso",9,0.35,2026-09-25,2026-09-30
68,28200,11241,10,"En Curso",7,0.01,2026-09-16,2026-09-22
68,28201,11242,10,"En Curso",8,0.01,2026-09-23,2026-09-25
68,28206,11247,10,Terminada,8,1,2026-09-24,2026-10-01
68,28207,11248,10,"En Curso",9,0.01,2026-09-28,2026-10-03
68,28208,11249,10,"En Curso",10,0.01,2026-10-05,2026-10-07
68,28212,11253,10,"En Curso",7,0.7,2026-09-15,2026-09-26
68,28213,11254,10,"En Curso",9,0.8,2026-10-01,2026-10-08
68,28608,11649,10,"En Curso",10,0.9,2026-10-05,2026-10-08
68,28627,11668,10,"En Curso",15,0.9,2026-11-09,2026-11-12
68,28646,11687,10,"En Curso",20,0.9,2026-12-14,2026-12-17
68,28761,11802,10,"En Curso",18,0.15,2026-12-03,2026-12-30
68,28789,11830,10,"En Curso",8,0.03,2026-09-26,2026-09-26
68,29082,12123,10,Terminada,20,1,2026-12-15,2026-12-22
68,29083,12124,10,"En Curso",21,0.6,2026-12-22,2027-01-13
68,29089,12130,10,"En Curso",25,0.3,2027-01-20,2027-03-13
68,29102,12143,10,"En Curso",16,0.05,2026-11-17,2027-01-12
68,29269,12310,10,"En Curso",27,0.5,2027-02-06,2027-02-15
68,29306,12347,10,"En Curso",32,0.12,2027-03-11,2027-04-09
68,29334,12375,10,"En Curso",9,0.1,2026-09-30,2026-11-11
68,29347,12388,10,Terminada,9,1,2026-09-30,2026-10-10
68,29356,12397,10,"En Curso",29,0.01,2027-02-16,2027-03-17
68,29475,12516,10,"En Curso",8,0.01,2026-09-24,2026-09-26
68,29476,12517,10,"En Curso",8,0.35,2026-09-25,2026-09-30
68,29615,12656,10,"En Curso",9,0.01,2026-10-01,2026-10-08
68,29777,12818,10,"En Curso",26,0.01,2027-01-26,2027-02-11
68,30092,11242,11,"En Curso",7,0.5,2026-09-23,2026-09-25
68,30097,11247,11,Terminada,7,1,2026-09-24,2026-10-01
68,30098,11248,11,Terminada,8,1,2026-09-28,2026-10-03
68,30099,11249,11,"En Curso",9,0.5,2026-10-05,2026-10-07
68,30104,11254,11,"En Curso",8,0.8,2026-10-01,2026-10-08
68,30105,11255,11,"En Curso",9,0.01,2026-10-05,2026-10-10
68,30499,11649,11,"En Curso",9,0.9,2026-10-05,2026-10-08
68,30518,11668,11,"En Curso",14,0.9,2026-11-09,2026-11-12
68,30537,11687,11,"En Curso",19,0.9,2026-12-14,2026-12-17
68,30652,11802,11,"En Curso",17,0.15,2026-12-03,2026-12-30
68,30680,11830,11,"En Curso",7,0.03,2026-09-26,2026-09-26
68,30973,12123,11,Terminada,19,1,2026-12-15,2026-12-22
68,30974,12124,11,"En Curso",20,0.6,2026-12-22,2027-01-13
68,30979,12129,11,"En Curso",24,0.01,2027-01-20,2027-03-13
68,30980,12130,11,"En Curso",24,0.35,2027-01-20,2027-03-13
68,30981,12131,11,"En Curso",31,0.8,2027-03-13,2027-04-01
68,30993,12143,11,"En Curso",15,0.05,2026-11-17,2027-01-12
68,31083,12233,11,"En Curso",7,0.01,2026-09-22,2026-09-29
68,31160,12310,11,"En Curso",26,0.5,2027-02-06,2027-02-15
68,31197,12347,11,"En Curso",31,0.35,2027-03-11,2027-04-09
68,31225,12375,11,"En Curso",8,0.1,2026-09-30,2026-11-11
68,31238,12388,11,Terminada,8,1,2026-09-30,2026-10-10
68,31247,12397,11,"En Curso",28,0.2,2027-02-16,2027-03-17
68,31366,12516,11,"En Curso",7,0.6,2026-09-24,2026-09-26
68,31367,12517,11,"En Curso",7,0.8,2026-09-25,2026-09-30
68,31378,12528,11,"En Curso",8,0.6,2026-09-28,2026-09-30
68,31506,12656,11,"En Curso",8,0.15,2026-10-01,2026-10-08
68,31668,12818,11,"En Curso",25,0.1,2027-01-26,2027-02-11
